neighborhood,postal_code,declared_transaction_value,reference_property_value,reference_value_proportional,tax_base_value,transaction_date,transaction_type,built_area_sqm,property_use_description,transferred_share_percentage,source,bucket_start
,4776133.0,598018.04,430816.0,2197.1616,598018.04,2024-12-23 00:00:00,1.Compra e venda,97,RESIDÊNCIA,0.51,JAN-2025,0
VILA GOMES CARDIM,3318000.0,510000.0,520528.0,520528.0,520528.0,2025-01-06 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,JAN-2025,0
,2311100.0,241000.0,831714.0,83.1714,241000.0,2024-12-23 00:00:00,1.Compra e venda,149,RESIDÊNCIA,0.01,JAN-2025,100
JARDIM DAS ACACIAS,4704040.0,323241.5,2033686.0,9761.6928,323241.5,2024-12-24 00:00:00,1.Compra e venda,242,RESIDÊNCIA,0.48,JAN-2025,200
,4211010.0,1402200.0,377336.0,377336.0,1402200.0,2024-12-31 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,JAN-2025,100
A,3456050.0,355000.0,196114.0,196114.0,355000.0,2025-01-06 00:00:00,1.Compra e venda,97,RESIDÊNCIA,100.0,JAN-2025,0
JD STA MARIA,2561010.0,700000.0,551971.0,551971.0,700000.0,2024-12-28 00:00:00,1.Compra e venda,135,RESIDÊNCIA,100.0,JAN-2025,100
JD UBIRAJARA,4458000.0,261395.75,67100614.0,93940.8596,261395.75,2025-01-03 00:00:00,1.Compra e venda,240,RESIDÊNCIA,0.14,JAN-2025,200
BUTANTA / MORUMBI,5613080.0,1700.0,2817065.0,2817065.0,2817065.0,2025-01-03 00:00:00,1.Compra e venda,681,RESIDÊNCIA,100.0,JAN-2025,600
VL CAMPANELLA,3690040.0,440000.0,188334.0,188334.0,440000.0,2025-01-02 00:00:00,1.Compra e venda,72,RESIDÊNCIA,100.0,JAN-2025,0
,2190120.0,246332.97,6919607.0,1383.9214,246332.97,2024-12-13 00:00:00,1.Compra e venda,354,RESIDÊNCIA,0.02,JAN-2025,300
,4069000.0,309915.85,1285494.0,3727.9326,309915.85,2024-12-12 00:00:00,1.Compra e venda,133,RESIDÊNCIA,0.29,JAN-2025,100
,3691020.0,300000.0,501932.0,1355.2164,300000.0,2024-12-23 00:00:00,1.Compra e venda,150,RESIDÊNCIA,0.27,JAN-2025,100
,4741070.0,635000.0,743702.0,743702.0,743702.0,2024-12-04 00:00:00,1.Compra e venda,116,RESIDÊNCIA,100.0,JAN-2025,100
,2190120.0,259356.07,6919607.0,13839.214,259356.07,2024-12-19 00:00:00,1.Compra e venda,354,RESIDÊNCIA,0.2,JAN-2025,300
JD UBIRAJARA,4458000.0,252098.37,64190526.0,6419.0526,252098.37,2024-12-19 00:00:00,1.Compra e venda,240,RESIDÊNCIA,0.01,JAN-2025,200
,2190120.0,236257.51,6919607.0,13839.214,236257.51,2024-12-17 00:00:00,1.Compra e venda,354,RESIDÊNCIA,0.2,JAN-2025,300
ACLIMACAO,1533020.0,369050.36,1138824.0,4213.6488,369050.36,2024-12-30 00:00:00,1.Compra e venda,140,RESIDÊNCIA,0.37,JAN-2025,100
,4069000.0,100.82,0.0,0.0,0.0,2024-09-10 00:00:00,1.Compra e venda,133,RESIDÊNCIA,0.27,JAN-2025,100
STA MARIA,3574100.0,440000.0,307269.0,307269.0,440000.0,2025-01-03 00:00:00,1.Compra e venda,115,RESIDÊNCIA,100.0,JAN-2025,100
GONZAGA,3756150.0,300000.0,145654.0,145654.0,300000.0,2024-12-30 00:00:00,1.Compra e venda,84,RESIDÊNCIA,100.0,JAN-2025,0
,3665010.0,485000.0,340400.0,340400.0,485000.0,2024-12-30 00:00:00,1.Compra e venda,107,RESIDÊNCIA,100.0,JAN-2025,100
CON.RES.JD BONFIGLIOLI,5593080.0,740000.0,626447.0,626447.0,740000.0,2024-12-27 00:00:00,1.Compra e venda,158,RESIDÊNCIA,100.0,JAN-2025,100
REI,2883050.0,228041.31,1827935.0,18279.35,228041.31,2024-12-20 00:00:00,1.Compra e venda,60,RESIDÊNCIA,1.0,JAN-2025,0
,4125200.0,318000.0,744972.0,1042.9608,318000.0,2024-12-06 00:00:00,1.Compra e venda,232,RESIDÊNCIA,0.14,JAN-2025,200
,4125200.0,350000.0,744972.0,1117.458,350000.0,2024-12-06 00:00:00,1.Compra e venda,232,RESIDÊNCIA,0.15,JAN-2025,200
,4125200.0,285293.42,744972.0,1042.9608,285293.42,2024-12-03 00:00:00,1.Compra e venda,232,RESIDÊNCIA,0.14,JAN-2025,200
